一丁不识	形容一个字也不认识。
一五一十	五、十：计数单位。五个十个地将数目点清。比喻叙述从头到尾，源源本本，没有遗漏。也形容查点数目。
一些半些	形容极少。
一人之交	亲密得象一个人。形容交情深。
一人元良	元良：天子。指天子一人。
一人向隅	隅：角落。一个人朝着屋角创造性落泪。形容在公共聚会中因一个人的不悦影响了整个气氛。
一人当百	一个人可以抵挡百人。形容力大而勇猛。
一人有庆	常用为歌颂帝王德政之词。
一人有罪	旧指天子的过失。
一人毁誉	毁：毁谤；誉：夸赞。一个人的毁谤或赞扬。指只凭少数人的好恶来决定人事。
一人私言	个人私下的言论、见解，而不是公认的见解。
一人耳目	一：统一。统一人们的视听，便于指挥。
一介不取	一介：一粒芥菜子，形容微小。一点儿小东西也不拿。形容廉洁、守法，不是自己应该得到的一点都不要。
一介不苟	形容廉洁、守法，不是自己应该得到的一点都不要。同“一介不取”。
一介之善	微小的善行。
一介之士	一个微末的士人。指忠心正直的人。
一介之夫	介：耿介。一个正直的人。
一介之才	指微小的才能。
一介之辅	一介：一个；辅：辅佐。具有一片忠心辅佐君王的臣子。
一介书生	一介：一个。旧时读书人的自称或对普通读书人的雅称。
一介儒生	一介：一个。旧时读书人的自称或对普通读书人的雅称。
一介武夫	一介：一个；武夫：军人。一个军人。学中用作自谦之词。
一介野生	一介：一个。一个鄙野的书生。常用作自谦之词。
一仍旧贯	一：都，全；仍：因袭，依照；贯：习惯的办法。执照老规矩办事，没有丝毫改变。
一代儒宗	儒宗：儒家学者的宗师。指一个时代的城学大师。
一代国色	国色：美丽超群的女子。为一代人当中长得最美的女子。
一代宗匠	形容一个时代的人们所尊崇、敬仰的著名文学家。
一代宗工	指在学问、技艺等方面一个时代为众所推崇的巨匠。
一代宗臣	一个时代中大家所景仰的大臣。
一代文宗	宗：宗师。一个时代为众人所宗仰的文学家。亦作“当世辞宗”、“一代宗匠”、“一代辞宗”。
一代文豪	豪：才能杰出的人。一个时代杰出的文学家。
一代楷模	一个时代的模范人物。
一代谈宗	谈宗：善于言谈，为世人所尊崇。指当代清谈大师。
一代辞宗	辞宗：辞赋作者中的宗师。指一个时代为人所尊崇的文学家。
一代风流	指创立风尚、为当时景仰的人物。
一代鼎臣	一个时代中大家所景仰的大臣。同“一代宗臣”。
一以当十	当：相当。一个人抵挡十个人。形容军队英勇善战。
一以当千	当：相当。一个人抵挡一千个人。形容军队英勇善战。
一以当百	一人抵过百人。极言勇猛。
一以贯之	贯：贯穿。用一个根本性的事理贯通事情的始末或全部的道理。
一体同心	一体：一个整体；同心：齐心。比喻关系密切，共同一心。
一体知悉	一体：一律。一律通知照办。旧时公文用语。
一体知照	一体：一律。一律通知照办。旧时公文用语。
一何至此	意思是竟然到了如此的地步。
一佛出世	犹一佛出世，二佛生天。
一依旧式	一切按照原来的规格或方式进行。
一倡一和	①指一个先唱，一个和声，形容两人感情相通。后多比喻两人相互配合，彼此呼应。倡，亦作“唱”。②指鸣声相呼应。
一倡三叹	指一人歌唱，三人相和。后多用以形容音乐、诗文优美，富有余味，令人赞赏不己。倡，亦作“唱”。
一倡百和	和：呼应，附和。一人首倡，百人附和。形容附和的人极多。
一偏之见	偏于一面的见解。
一偏之言	争执的双方中一方所说的话。指单方面的话，片面的看法。
一偏之论	偏于一面的议论。
一傅众咻	傅：教导；咻：喧闹。一个人教导，众人吵闹干扰。比喻不能有什么成就。
一元复始	指新的一年的开始。并常以下句“万象更新”合成春联。
一元大武	指古时祭祀用的牛。
一决胜负	进行最后的较量以决定高下。
一决雌雄	雌雄：比喻胜负、高下。决一胜负，比个高下。
一击即溃	溃：溃败。刚一交战就立即溃败。指军队缺乏战斗力。
一刀两断	一刀斩为两段。比喻坚决断绝关系。
一刀两段	①一刀斩为两段。比喻坚决断绝关系。同“一刀两断”。②指斩首，被杀。
一分一厘	分、厘：金钱单位，1元＝10角，1角＝10分，1＝10厘。形容很少的数量。
一分一毫	形容很少的数量。
一分为二	哲学用语，指事物作为矛盾的统一体，都包含着相互矛盾对立的两个方面。通常指全面看待人或事物，看到积极方面，也看到消极方面。
一切万物	宇宙间所有的事物。
一切之权	一切：一时；权：权宜。指一时的权宜之计。
一切众生	佛教指人类和一切生物。
一切有情	佛教指一切众生。
一别如雨	像雨落下以后不能再返回到云里一样。形容离别以后再难相见。
一刹那间	刹那：梵文ksana的音译。指十分短促的时间。
一刻千金	一刻时光，价值千金。形容时间非常宝贵。
一剑之任	指以一人一剑之力。指作战的士兵，犹言一人之勇。亦指独力担任艰巨的任务。
一副急泪	指为了对付应急需要而骤然挤出来的一串眼泪。
一力吹嘘	一力：极力；吹嘘：为人说好话。尽全力替别人美言。
一力当先	一力：竭力。尽全力走在前面或做在别人前面。
一力承当	一力：独力。一个人独自负责。
一力承担	一力：独力。一个人独自负责。
一力担当	一力：尽全力。尽全力承担责任。
一力拒守	一力：尽全力。竭力抵御敌人，固守阵地。
一力撺掇	一力：极力；撺掇：怂恿、劝诱别人做事。指竭力怂恿别人去做某件事情，或竭力促成某件事情。
一动不动	指静止不动或懒得活动。
一劳久逸	辛苦一次，把事情办好，以后就可以不再费力了。同“一劳永逸”。
一劳永逸	逸：安逸。辛苦一次，把事情办好，以后就可以不再费力了。
一勇之夫	指只凭勇气而不会使用计谋的人。
一化齐俗	统一教化，整齐风俗。
一匡九合	春秋时管仲辅助齐桓公“一匡天下，九合诸侯”，建立霸业。后亦指立国大事。
一匡天下	匡：纠正；天下：原指周天子统治所及的地方，即整个中国。纠正混乱局势，使天下安定下来。
一卒之令	卒：死。只有一条死罪的法令。
一卒之田	百顷田地。
一卧不起	指一生病就没有好转。
一厘一毫	形容极少的数量。
一厢情原	指单方面的愿望或不考虑客观实际情况的主观意愿。同“一相情原”。
一厢情愿	指单方面的愿望或不考虑客观实际情况的主观意愿。同“一相情愿”。
一去不返	返：回来。一去就不再回来了。比喻事情已成为过去，再不能重现。
一去不还	还：回来。一去就不再回来了。比喻事情已成为过去，再不能重现。
一双两好	比喻夫妇十分般配。
一双两美	比喻夫妇十分般配。
一反其道	一：整个，完全；反：相反；其：他的；道：轨道。完全与以前的轨道相反。
一反常态	完全改变了平时的态度。
一反既往	一：完全；既往：从前。完全与以前相反。
一发千钧	发：头发；钧：古代的重量单位，合三十斤。危险得好像千钧重量吊在一根头发上。比喻情况万分危急。
一发双贯	原指射箭技术高超，一箭射中两只雕。后比喻做一件事达到两个目的。
一发破的	发：射出；的：箭靶的中心。一箭就射中箭靶中心。比喻一下子就击中目标或一句话就击中要害。
一叠连声	一声紧接着一声。
一口一声	犹口口声声。
一口三舌	比喻唠叨、话多。
一口两匙	比喻贪多。
一口同声	犹一口同音。
一口同音	犹言众口一词。
一口咬定	一口咬住不放。比喻坚持一个廉洁，再不改口。
一口所敌	一口：一席话。一席话就阻止了敌方的进攻。
一口道破	道：说；破：揭穿。一句话就说穿了。
一口颂歌	一口：异口同声。众口一词，同唱颂歌。
一古脑儿	全部，通通。也形容不顾一切地做某件事。
一台二妙	台：古代官署名。同一官署中有名气的两个人。
一叶两豆	比喻为局部现象所迷惑，看不到全局或整体。
一叶扁舟	扁舟：小船。象一片小树叶那样的小船。形容船小而轻。
一叶报秋	比喻通过个别的细微的迹象，可以看到整个形势的发展趋向与结果。同“一叶知秋”。
一叶知秋	从一片树叶的凋落，知道秋天的到来。比喻通过个别的细微的迹象，可以看到整个形势的发展趋向与结果。
一叶迷山	意指一叶蔽目，不见泰山。
一叶障目	眼睛被一片树叶挡住，指看不到事物的全貌。
一吐为快	指尽情说出要说的话而感到畅快。
一吟一咏	指吟诗作赋。
一吠百声	即一犬吠形，百犬吠声。
一吹一唱	吹：吹嘘。唱：唱和。两个人说话，互相帮衬。
一呵而就	一口气完成。
一呼三颠	比喻动摇、不稳定。
一呼再喏	听到一声呼唤即连声应答。表示恭顺。
一呼即集	呼：呼唤；集：聚集。呼唤一声，人们就聚集到一起。
一呼百和	一人呼唤，百人响应。形容响应的人很多。
一呼百应	一个人呼喊，马上有很多人响应。
一呼百诺	一人呼唤，百人应答。形容有钱有势，仆从很多。
一呼而集	呼：呼唤；集：聚集。呼唤一声，人们就聚集到一起。
一命之荣	指受任一官的荣耀。
一命呜呼	呜呼：叹词，古代祭文末多有此词，后即以此为死亡的代称。指人死亡。
一命归西	指死亡。
一命归阴	指死亡。
一命鸣呼	指死亡。常含幽默诙谐意味。
一咏一觞	咏：吟诗；觞：古代盛酒器，借指饮酒。旧指文人喝酒吟诗的聚会。
一咏三叹	一个人领头唱，三个人和着唱。原指音乐和歌唱简单而质朴。后转用来形容诗婉转而含义深刻。
一品白衫	唐人推重进士，称应进士科者为“一品白衫”。意指他日可以官登一品，但今日则犹着白衫。
一哄而上	没有经过认真准备和严密组织，一下子行动起来。同“一哄而起”。
一哄而散	哄：吵闹。形容聚在一起的人一下子吵吵嚷嚷地走散了。
一哄而起	没有经过认真准备和严密组织，一下子行动起来。
一哄而集	哄：喧闹。一阵喧闹，人们都起来了。形容自发地行动起来。
一响百应	应：响应。一有响声，马上有很多人响应。
一唱一和	一个先唱，一个随声应和。原形容两人感情相通。现也比喻二人互相配合，互相呼应。
一唱三叹	一个人领头唱，三个人和着唱。原指音乐和歌唱简单而质朴。后转用来形容诗婉转而含义深刻。
一唱众和	和：呼应，附和。一人念头唱，众人附和。形容附和的人极多。
一唱百和	形容附和的人极多。
一喜一悲	既有让人高兴的事，也有令人悲伤的事。
一喷一醒	原指斗鸡要用水喷，使之清醒后再斗。后比喻推动督促。
一噎止餐	犹因噎废食。比喻要做的事情由于出了点小毛病或怕出问题就索性不去干。
一嚬一笑	指不高兴或喜悦的表情。嚬，皱眉。
一团和气	本指态度和霭可亲。现也指互相之间只讲和气，不讲原则。
一团漆黑	形容一片黑暗，没有一点光明。也形容对事情一无所知。
一国三公	公：古代诸侯国君的通称。一个国家有三个主持政事的人。比喻事权不统一，使人不知道听谁的话好。
一场春梦	比喻过去的一切转眼成空。也比喻不切实际的想法落了空。
一场误会	指一次错怪别人。
一坐一起	犹言一举一动。指人的每一个动作。
一坐之间	一坐：刚一坐下；间：间隙。刚一坐下的短暂时刻。形容时间很短。
一坐之顷	一坐：刚一坐下；顷：顷刻。刚一坐下的短暂时刻。形容时间很短。
一坐尽倾	指满座倾慕。
一坐尽惊	指满座皆惊服。
一坐皆惊	指满座皆惊服。同“一坐尽惊”。
一堂和气	本指态度和霭可亲。现也指互相之间只讲和气，不讲原则。
一塌刮子	总共加在一起。
一塌括仔	通通或全部加在一起。
一塌糊涂	糊涂：混乱。形容混乱或败坏到了不可收拾的程度。
一塌胡涂	形容混乱或败坏到了不可收拾的程度。同“一塌糊涂”。
一壑一丘	壑：山沟；丘：土山。原指隐者所居之地。后多用以指寄情山水。
一士之智	智：智慧。一个人的智慧。形容有限的才智。
一声不吭	一句话也不说。
一声不响	指不发出一点声音。
一壶中流	壶：通“瓠”，瓠瓜，中空，能浮在水面。比喻东西虽然轻微，用得到的时候便十分珍贵。
一壶千金	壶：通“瓠”，瓠瓜，中空，能浮在水面。比喻东西虽然轻微，用得到的时候便十分珍贵。
一壸千金	比喻物虽微贱，关键时得其所用，便十分宝贵。
一夔一契	夔契都是舜时贤臣，后因以之喻良辅。
一夔已足	夔：古贤臣名，为舜时的典乐官。夔一人已足制乐。指只要是真正的人才，有一个就足够了。
一夔自足	夔：古贤臣名，为舜时的典乐官。夔一人已足制乐。指只要是真正的人才，有一个就足够了。
一夕一朝	一个晚上或一个早晨。形容很短的时间。同“一朝一夕”。
一夕三叹	夕：晚上；三：多次。一夜之间反复叹息。
一夕三迁	一夜之间三次迁移。形容居住的地方极不安全，令人提心吊胆，不得安宁。
一夕九升	九：比喻次数多；夕：晚上；兴：升起。一夜之间心绪多次起伏波动。形容心绪很不安宁。
一夕九徙	九：多次；徙：迁移。一夜之间迁移好几次。形容居住的地方极不安全。
一夕五制	一夜的工夫写出五种体制。形容文思敏捷，文章写得很快。
一夕千念	一夜之间有千头思绪涌上心头。形容思绪纷乱。
一夕白发	形容非常焦虑、着急，一夜的工夫头发都急白了。
一夜十起	心里惦挂事情，一晚上起来十次，不得安睡。
一天一地	满天满地。形容到处都是。
一天好事	形容非常好的事情。
一天星斗	原指满天的星星。后比喻事情多而杂乱。也可形容文章词藻华丽。
一夫之勇	犹言匹夫之勇。指不用智谋单凭个人的勇力。
一夫之用	指仅能当一人之用，而无兼人之能。
一夫可守	一夫：一个人；守：把守。一个人就能把守住。形容地势险要，易于防守。
一夫当关	形容地势十分险要，易守难攻。
一如既往	一：完全；既往：从前，已往。指态度没有变化，完全象从前一样。
一如曩昔	曩昔：从前。完全跟从前一样。
一孔不达	指一窍不通。
一孔之见	从一个小窟窿里所看到的。比喻狭隘片面的见解。
一字一句	形容人说话清楚从容。
一字一板	形容说话从容清楚，吐字清晰，也指严肃认真，毫不苟且或正正经经，合乎规矩。
一字一泪	一个字就仿佛是一滴眼泪。形容文字写得凄楚感人。亦作“一言一泪”。
一字一珠	一个字就象一颗珍珠。形容歌声婉转圆润。也比喻文章优美，辞藻华丽。
一字不差	一个字也没有更改，与原文雷同。
一字不易	文字精醇，一个字也不能更改。也用于指抄袭者一字不改地照抄别人的文章。
一字不爽	一个字也不错。指交待的话与原话一致或与事实符合。
一字不苟	苟：马虎，随便。形容写文章不随便下笔，每一个字都要斟酌。
一字不落	落：丢下。指整篇文章都仔细逐字逐句地阅读或背诵。
一字不识	一个字也不认识。
一字之师	改正一个字的老师。有些好诗文，经旁人改换一个字后更为完美，往往称改字的人为“一字师”或“一字之师”。
一字兼金	形容文字极其珍贵。兼金，价值倍常的好金。
一字千秋	指文字警辟，足垂久远。
一字千金	增损一字，赏予千金。称赞文辞精妙，不可更改。
一字千钧	钧：古代重量单位，1钧＝30斤。形容文字有份量。
一字百炼	百炼：上百次的锤炼。形容写作时在文字上反复推敲。
一字百金	增损一字，赏予百金。称赞文辞精妙，不可更改。
一字褒贬	褒：赞扬，夸奖；贬：给予不好的评价。一个字的褒扬或贬斥。泛指记事论人，用字措辞严谨有分寸。
一字见心	看到一个字就能看到人的思想。形容书法艺术能体现出人的个性。
一字连城	极言文辞的精妙。
一字长城	排列成一长条的阵势。也指一言奏效，可比长城。
一官半职	泛指官职。
一定不易	易：改变。原指一定下来就不变更，后形容事理正确，不可改变。
一定不移	原指一定下来就不变更，后形容事理正确，不可改变。同“一定不易”。
一定之法	一定：固定不变。一经确定下来就不再改变的法规。
一定之规	一定的规律或规则。比喻已打定的主意。
一定之计	计：主意，打算。已经拿定的主意。
一定之论	已经确定下来不可更改的论断。
一室生春	整个房间里充满了愉快欢乐的气氛。
一家一火	指所有家当什物。
一家一计	指一夫一妻的家庭生活或财产。亦引申为一家人。
一家之主	家庭的当家人。
一家之作	自成一家的著作。
一家之学	自成一家的学派。
一家之言	指有独特见解自成体系的论著。
一家之计	指一夫一妻的家庭。
一家之论	指有独特见解自成体系的论著。
一家之说	指有独特见解自成体系的论著。
一家之辞	指有独特见解自成体系的论著。同“一家之言”。
一家之长	家庭的当家人。
一家无二	指一家之人没有两样。
一家眷属	眷属：家属，亲属。比喻出于同一流派。
一家老小	指全家人。
一寒如此	一：竟然；寒：贫寒。竟然穷困到这样的地步。形容贫困潦倒到极点。
一寸丹心	丹心：赤心，忠贞的心。一片赤诚的心。
一寸赤心	一片赤诚的心。同“一寸丹心”。
一射之地	一箭所能达到的距离，约当一百二十至一百五十步。
一尘不倒	原指佛教徒修行时，排除物欲，保持心地洁净。现泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。
一尘不到	形容清净纯洁。
一尘不受	原指佛教徒修行时，排除物欲，保持心地洁净。现泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。
一尘不染	原指佛教徒修行时，排除物欲，保持心地洁净。现泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。
一尘不涉	原指佛教徒修行时，排除物欲，保持心地洁净。现泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。
一尘不缁	犹一尘不染。泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。
一就手儿	一就：顺便。指趁做某事之时捎带着做另一件事。
一尺之笔	借指文章。
一尺寒光	形容刀剑的光芒。
一岁三迁	比喻官职升得极快。
一岁九迁	岁：年；迁：官职升迁。一年之内升迁九次。比喻官职升得极快。
一岁再赦	一年之中再次赦罪。指赦免过滥。同“一岁载赦”。
一岁载赦	一年之中再次赦罪。指赦免过滥。亦作“一岁再赦”。
一川风月	川：山间平地。一片风景优美的天地。
一差两讹	可能发生的意外或差错。同“一差二错”。
一差两误	可能发生的意外或差错。
一差二悮	指意外的差错和失误。同“一差二误”。
一差二误	指意外的差错和失误。
一差二错	可能发生的意外或差错。
一差半错	指变故，差错。
一差百错	可能发生的意外或差错。
一己之私	指个人的私心、私利。
一己之见	指一个人的意见。
一帆顺风	比喻非常顺利，没有任何阻碍。同“一帆风顺”。
一帆风顺	船挂着满帆顺风行驶。比喻非常顺利，没有任何阻碍。
一席之地	放一个席位的地方。比喻应有的一个位置。
一干一方	“干”与“千”、“方”与“万”字形相似，一干一方即一千一万的隐语。这是明代官场行贿的黑话。
一干二净	形容十分彻底，一点儿也不剩。
一干人犯	指罪犯和有关的人。
一年一回	指一年一次。
一年一度	度：次。每年一次的意思。
一年到头	整年，从头到尾经过。
一年半载	一年半年。泛指一段时间。
一床两好	比喻夫妇两人情投意合。
一应俱全	一应：一切；俱：都。一切齐全，应有尽有。
一座尽倾	座：在座的人。在座的人都很倾慕
一座尽惊	座：指在座的人。在座的人都感到惊奇
一座皆惊	在座的人都感到惊奇。
一廉如水	为官廉洁，如流水一样清洁。
一式一样	完全是一个式样。形容完全相同。
一弛一张	弛：放松弓弦。张：拉紧弓弦。古时常以比喻施政宽严相济；现多比喻生活、工作要合理安排，有松有紧，劳逸结合。同“一张一弛”。
一张一弛	意思是宽严相结合，是文王武王治理国家的方法。现用来比喻生活的松紧和工作的劳逸要合理安排。
一弹指间	原为佛教用语，佛教有“一弹指顷六十年刹那”之说。手指一弹的时间。比喻时间极短暂。
一弹指顷	顷：顷刻。原为佛教用语，佛教有“一弹指顷六十年刹那”之说。手指一弹的时间。比喻时间极短暂。
一当两便	指一种适当的举动会带来两方面的好处或便当。
一彻万融	犹言一通百通。一个主要的弄通了，其他的自然也都会弄通。
一彼一此	一时那样，一时这样。指局势或情况等随时间变化而变化。
一往情深	指对人或对事物顷注了很深的感情，向往而不能克制。
一往无前	一往：一直向前；无前：前面什么也挡不住。一直往前，无所阻挡。形容勇猛无畏地前进。
一往深情	一往：一直，始终。指寄情深远。
一往直前	形容勇猛无畏地前进。同“一往无前”。
一往而深	指对人或对事物顷注了很深的感情，向往而不能克制。同“一往情深”。
一律千篇	一律：同样的。一千篇文章都一个样。指文章、题材、写法公式化。泛指事物形式陈旧呆板。
一得两便	指一种适当的举动会带来两方面的好处或便当。
一得之功	一得：一点心得，一点收获；功：成绩。一点微小的成绩。
一得之愚	指自己对某件事的一点看法。
一得之见	见：见解。谦虚的说法，指自己对某个问题的见解。
一德一心	德：心意。大家一条心，为一个共同目标而努力。
一心一力	犹同心协力。团结一致，共同努力。
一心一德	大家一条心，为一个共同目标而努力。
一心一意	只有一个心眼儿，没有别的考虑。
一心一腹	指一条心。
一心一计	一个心眼，一样的想法。指与对方的想法尽量一致。
一心一路	犹一心一意。只有一个心眼儿，没有别的考虑。
一心两用	把注意力同时集中在两件事上。指思想不专一。
一心为公	一心：专心，全心全意。专心一意为公益着想。
一心同体	犹言同心同德。指思想统一，信念一致。
一心同功	同心协力，共赴事功。
一心同归	齐心趋向同一目的。
一心无二	指一心一意地做某种事情，没有杂念。
一心百君	忠臣虽经历几个君主还是始终如一。
一念之差	念：念头、主意；差：错误。一个念头的差错（造成严重后果）。
一念之私	一个念头的私心。
一念之误	一个念头的差错。同“一念之差”。
一念之错	念：念头、主意；错：错误。一个念头的差错。常指因此造成严重的后果。
一念通天	只要一心一意去做，就可以通向最高的境界。
一怀愁绪	一怀：满怀，满腔。心里充满愁苦的情绪。
一息万变	息：呼吸。在极短的时间内就有很多变化。形容变化很多很快。
一息千里	一息：一口气儿，喘一口气的工夫。喘一口气的工夫就一千里路。形容速度极快。
一息奄奄	只有微弱的一口气。形容垂死之状。
一息尚在	息：呼吸，气息；尚：还。还有一口气。指生命的最后阶段。
一息尚存	息：呼吸，气息；尚：还。还有一口气。指生命的最后阶段。
一恸几绝	恸：极悲哀；几：几乎。一声痛哭，差一点闭过气骈。形容悲痛到了极点。
一恸欲绝	恸：极悲哀。一声痛哭，差一点闭过气骈。形容悲痛到了极点。
一悲一喜	既悲伤又高兴。
一惊非小	惊：惊慌，惊恐；非：不。突然发生意外的严重情况，感到十分吃惊。
一意孤行	指不接受别人的劝告，顽固地按照自己的主观想法去做。
一成一旅	成：古时以方圆十里为一成；旅：古时以兵士五百人为一旅。形容地窄人少，力量单薄。
一成不变	成：制定，形成。一经形成，不再改变。
一成不易	一经形成，不再改变。同“一成不变”。
一手一脚	一个人的手足。指单薄的力量。同“一手一足”。
一手一足	一个人的手足。比喻力量单薄。
一手包办	一手：指一个人；包办：总揽一切，独自办理。指一人独揽，不让别人插手。
一手包揽	一个人办理全部事情，不容许别人插手。
一手托天	比喻无法办到的事。
一手擎天	用一支手托住天。比喻无法办到的事。
一手独拍	一只手单独地拍巴掌。比喻一个人或单方面的力量难以办事。
一手运承	一个人独立处理。
一手遮天	一只手把天遮住。形容依仗权势，玩弄手段，蒙蔽群众。
一手障天	一只手把天遮住。形容依仗权势，玩弄手段，蒙蔽群众。
一扫无遗	一下子便扫除干净。比喻彻底清除干净。
一扫而光	一下子就扫除干净。
一扫而尽	一下子便扫除干净。比喻彻底清除干净。
一扫而空	一下子便扫除干净。比喻彻底清除。
一技之善	技：技能，本领。指有某种技能或特长。
一技之微	技：技能，本领。指有某种技能或特长。
一技之长	技：技能，本领；长：擅长、长处。指有某种技能或特长。
一技无成	技：技能，本领。什么本领也没学成。
一把死拿	比喻因循守旧，不肯变通。
一抔之土	一抔：一捧。一捧黄土。借指坟墓。
一抔黄土	一抔：一捧。一捧黄土。借指坟墓。现多比喻不多的土地或没落、渺小的反动势力。
一拉一唱	唱：唱和。一个人拉琴，另一个人唱和。比喻两人互相配合，一个下面说话，另一个在旁帮腔。
一拍即合	拍：乐曲的段落，也称打拍子。一打拍子就合于乐曲的节奏。比喻困情意相投或有利害关系，一下子就说到一起或结合在一起。
一拥而上	一下子全都围上去。形容周围的人同时向一个目标猛挤过去。
一拥而入	拥：拥挤。一下子全都拥了进去，挤了进去。
一指蔽目	蔽：遮挡。一个指头遮住自己的眼睛，就什么也看不见了。比喻拒绝接受别人的意见。
一挥九制	一提笔就能写出九道制书。指文思敏捷。
一挥千金	指用钱满不在乎，一花就是一大笔。
一挥立就	挥：挥笔；就：成功。一动笔就写成了。形容写字、写文章、画画快。
一挥而就	挥：挥笔；就：成功。一动笔就写成了。形容写字、写文章、画画快。
一挥而成	挥：挥笔；成：成功。一动笔就写成了。形容写字、写文章、画画快。
一掌堙江	堙：堵塞。用一只手要堵住大江河水的泛滥。比喻自不量力。
一掌遮天	用一只手掌把天遮住。形容依仗权势，玩弄手段，蒙蔽群众。
一接如旧	犹言一见如故。初次见面就象老朋友一样合得来。
一推两搡	形容一再推托。
一掷乾坤	指以天下为孤注之一掷。乾坤，天下。
一掷千金	指用钱满不在乎，一花就是一大笔。
一掷巨万	指用钱满不在乎，一花就是一大笔。形容赌徒下注极大。
一掷百万	指用钱满不在乎，一花就是一大笔。
一揽包收	指总揽一切。
一搭一档	指互相配合，彼此协作。有时含贬意。
一搭两用	一样东西当两样用。
一攫千金	攫：抓取。指用冒险的手段一下子发大财。
一支半节	指一小部分。
一改故辙	彻底改变走惯了的老路。指坚决走上新路。
一文不值	指毫无价值。
一文不名	名：占有。一个钱都没有。形容非常贫困。
一文如命	把一文钱看得象性命那样重。比喻极端吝啬。同“一钱如命”。
一文莫名	名：占有。一个钱都没有。
一斑半点	比喻极小部分。
一斑窥豹	从竹管的小孔里看豹，只看到豹身上的一块斑纹。比喻只看到事物的一部分，指所见不全面或略有所得。
一斛凉州	斛：古代量器，1斛＝5斗，1石＝2斛。用一斛酒换了个凉州刺史。形容以贿赂手段求取官职。
一斥不复	斥：贬斥。一遭贬斥，终身不再为官。
一新耳目	耳目：指见闻。听到的、看到的跟以前完全不同，使人感到新鲜。
一新面目	一新：完全是新的；面目：面貌。样子完全改变，有了崭新的面貌。
一方之任	负一方面责任的职务。
一方之寄	负一方面责任的职务。
一方之艺	有某一方面技艺。指有一技之长。
一无可取	没有一点儿可以肯定的地方。
